Nr	TID	PID	x [pixel]	y [pixel]	t [sec]	I [val]	Len [pixel]	D2S [pixel]	D2R [pixel]	D2P [pixel]	v [pixel/sec]	? [deg]	?? [deg]
82	2	32	282.60086715553	256.971902364865	0	255	7.719	7.327	NA	0.244	NA	-108.128	-13.817
83	2	33	285.718738810658	256.639671159156	0	240	7.942	7.514	NA	0.223	NA	-103.385	4.743
84	2	34	285.414982783034	257.410964153744	0	255	8.152	7.68	NA	0.211	NA	-110.096	-6.711
85	2	35	282.076135887645	255.411078486964	0	252	8.403	7.879	NA	0.251	NA	-110.677	-0.581
86	2	36	282.426160498023	253.528145190932	0	249	8.656	8.061	NA	0.252	NA	-117.636	-6.959
87	2	37	284.548787864871	254.700165415809	0	242	8.868	8.234	NA	0.212	NA	-111.115	6.521
88	2	38	284.82163734974	255.062621945873	0	255	9.113	8.449	NA	0.245	NA	-104.161	6.954
89	2	39	282.514859818347	252.932927957006	0	255	9.379	8.646	NA	0.266	NA	-119.233	-15.072
90	2	40	284.684201832913	254.332841612615	0	255	9.617	8.837	NA	0.238	NA	-114.895	4.339
91	2	41	284.918427637503	254.243737963811	0	251	9.859	9.018	NA	0.242	NA	-120.56	-5.666
92	2	42	282.434597294696	254.101064793512	0	254	10.159	9.221	NA	0.3	NA	-127.62	-7.06
93	2	43	281.001620266609	254.859253033213	0	255	10.407	9.405	NA	0.248	NA	-123.444	4.176
94	2	44	282.946471871316	253.153816425674	0	252	10.695	9.611	NA	0.288	NA	-127.017	-3.572
95	2	45	282.12010445483	254.367446345605	0	239	10.978	9.831	NA	0.283	NA	-122.728	4.289
96	2	46	281.976885533482	252.427029759824	0	255	11.206	9.978	NA	0.229	NA	-134.384	-11.656
97	2	47	284.126534783497	252.376861123905	0	255	11.513	10.199	NA	0.307	NA	-129.972	4.412
98	2	48	282.755291565441	254.325494852856	0	255	11.815	10.394	NA	0.302	NA	-136.831	-6.86
99	2	49	283.566609156847	252.009031229943	0	243	12.114	10.618	NA	0.298	NA	-129.738	7.094
100	2	51	279.847544807889	250.569123463087	0	237	12.396	10.814	NA	0.282	NA	-135.345	-5.608
101	3	1	184.736638206713	429.181688495368	0	255	0	0	NA	NA	NA	NA	NA
102	3	2	184.871785134532	431.998654129639	0	255	0.166	0.166	NA	0.166	NA	-4.621	NA
103	3	3	185.234565714233	428.622579959549	0	255	0.431	0.431	NA	0.265	NA	0.603	5.225
104	3	4	184.172552752756	431.766066361666	0	255	0.65	0.648	NA	0.219	NA	5.766	5.162
105	3	5	185.06508985962	431.544576045699	0	249	0.891	0.888	NA	0.241	NA	9.237	3.472
106	3	6	186.329199429907	430.638827199973	0	255	1.081	1.078	NA	0.19	NA	6.188	-3.049
107	3	7	185.702562094919	429.569655052513	0	255	1.341	1.332	NA	0.26	NA	-9.057	-15.245
108	3	8	185.74743219927	431.3610634638	0	255	1.553	1.544	NA	0.212	NA	3.154	12.21
109	3	9	186.915896307744	430.387928647399	0	255	1.791	1.782	NA	0.238	NA	2.277	-0.877
110	3	10	188.077616791181	429.977302422181	0	248	2.004	1.994	NA	0.212	NA	6.3	4.023
111	3	11	189.041222645931	429.266105629049	0	255	2.207	2.198	NA	0.204	NA	1.232	-5.068
112	3	12	186.978013397545	429.831037831321	0	242	2.439	2.43	NA	0.232	NA	5.24	4.008
113	3	13	187.354092653148	430.432287446648	0	255	2.684	2.673	NA	0.245	NA	-3.384	-8.624
114	3	14	190.336788736306	431.347984213054	0	247	2.944	2.932	NA	0.26	NA	7.337	10.721
115	3	15	189.87698067268	432.133909376845	0	245	3.1	3.086	NA	0.155	NA	10.504	3.168
116	3	16	188.783573513173	431.34572820399	0	255	3.349	3.334	NA	0.249	NA	-3.525	-14.029
117	3	17	189.0426667374	431.429085339092	0	252	3.581	3.565	NA	0.232	NA	-3.298	0.227
118	3	18	190.714957766645	430.890617457233	0	240	3.834	3.817	NA	0.253	NA	7.164	10.462
119	3	19	187.781220685318	428.617611223184	0	255	4.049	4.031	NA	0.215	NA	-3.455	-10.619
120	3	20	188.1198397002	431.497066477507	0	255	4.25	4.228	NA	0.2	NA	13.288	16.743
121	3	21	190.12080734057	428.463464486048	0	255	4.49	4.466	NA	0.24	NA	-5.844	-19.132
122	3	22	188.625322437942	431.259665282585	0	255	4.753	4.728	NA	0.263	NA	6.699	12.543
123	3	23	188.8258228826	429.587714797735	0	250	4.969	4.943	NA	0.216	NA	-2.668	-9.367
124	3	24	190.999041657343	431.822102031209	0	255	5.15	5.124	NA	0.181	NA	2.696	5.364
125	3	25	188.906349645481	430.077004219882	0	255	5.388	5.362	NA	0.238	NA	3.899	1.203
126	3	26	192.689815917604	431.05727553501	0	255	5.67	5.639	NA	0.282	NA	-9.127	-13.026
127	3	27	192.917271098323	429.127047798194	0	254	5.874	5.841	NA	0.205	NA	11.058	20.185
128	3	28	192.68971581649	428.623654073641	0	255	6.076	6.042	NA	0.202	NA	4.883	-6.175
129	3	29	191.770347182296	430.934391589612	0	255	6.26	6.226	NA	0.184	NA	4.741	-0.143
130	3	30	193.38837620189	428.738917136461	0	254	6.552	6.517	NA	0.291	NA	4.333	-0.407
131	3	31	190.671911816828	430.460455887854	0	252	6.801	6.766	NA	0.249	NA	4	-0.333
132	3	32	194.261412622049	430.435659790739	0	255	6.98	6.941	NA	0.179	NA	-9.854	-13.855
133	3	33	191.669178472675	429.967235686533	0	255	7.189	7.151	NA	0.209	NA	1.505	11.36
134	3	34	194.217286918968	429.00146554888	0	244	7.418	7.379	NA	0.229	NA	4.638	3.133
135	3	35	195.11320384302	429.412837153964	0	250	7.685	7.645	NA	0.267	NA	-2.054	-6.692
136	3	36	192.49869745706	432.303890837044	0	240	7.905	7.865	NA	0.221	NA	5.975	8.029
137	3	37	194.97952537822	431.574229250126	0	252	8.109	8.069	NA	0.204	NA	-2.615	-8.59
138	3	38	193.036258175932	430.558233331352	0	253	8.338	8.298	NA	0.229	NA	-0.002	2.612
139	3	39	192.151705544345	431.604249366909	0	255	8.578	8.537	NA	0.24	NA	5.395	5.397
140	3	40	195.34763486959	430.495899831742	0	247	8.84	8.799	NA	0.262	NA	4.476	-0.919
141	3	41	193.863004054919	430.646667075537	0	238	9.027	8.986	NA	0.187	NA	-0.866	-5.342
142	3	42	193.196768914208	430.242519232921	0	255	9.228	9.186	NA	0.201	NA	6.007	6.873
143	3	43	193.867062023923	430.519807808749	0	238	9.489	9.447	NA	0.26	NA	3.658	-2.349
144	3	44	196.716257816806	430.845852665968	0	244	9.731	9.687	NA	0.242	NA	-4.977	-8.636
145	3	45	197.285833387651	430.990767349541	0	255	9.964	9.919	NA	0.233	NA	8.913	13.89
146	3	46	195.164429931499	432.326638273299	0	255	10.139	10.093	NA	0.175	NA	6.634	-2.279
147	3	47	195.756912469298	429.749204689689	0	247	10.391	10.343	NA	0.252	NA	-4.791	-11.425
148	3	48	197.37632659398	431.369724057563	0	253	10.618	10.57	NA	0.227	NA	3.239	8.03
149	3	49	196.256443938218	429.854341232322	0	251	10.883	10.833	NA	0.265	NA	-3.948	-7.186
150	3	50	194.776206292212	431.829601087384	0	255	11.059	11.01	NA	0.176	NA	0.718	4.665
