Nr	TID	PID	x [pixel]	y [pixel]	t [sec]	I [val]	Len [pixel]	D2S [pixel]	D2R [pixel]	D2P [pixel]	v [pixel/sec]	? [deg]	?? [deg]
80	2	30	285.32006514819	258.678260111727	0	255	7.243	6.926	NA	0.22	NA	-99.218	-1.067
81	2	31	285.949612124063	255.268494039163	0	255	7.475	7.135	NA	0.232	NA	-94.311	4.907
82	2	32	285.741727611572	257.963158858009	0	255	7.719	7.327	NA	0.244	NA	-108.128	-13.817
83	2	33	282.340979143545	255.295502458878	0	240	7.942	7.514	NA	0.223	NA	-103.385	4.743
84	2	34	282.191913584605	255.54468967583	0	255	8.152	7.68	NA	0.211	NA	-110.096	-6.711
85	2	35	283.171871930242	257.363803642243	0	252	8.403	7.879	NA	0.251	NA	-110.677	-0.581
86	2	36	285.178256278358	257.071863630459	0	249	8.656	8.061	NA	0.252	NA	-117.636	-6.959
87	2	37	282.375156917624	254.657654602706	0	242	8.868	8.234	NA	0.212	NA	-111.115	6.521
88	2	38	282.809975375026	255.360864329509	0	255	9.113	8.449	NA	0.245	NA	-104.161	6.954
89	2	39	284.054388377309	254.807022267222	0	255	9.379	8.646	NA	0.266	NA	-119.233	-15.072
90	2	40	284.671244931459	255.605602208741	0	255	9.617	8.837	NA	0.238	NA	-114.895	4.339
91	2	41	281.454230326883	256.224464519732	0	251	9.859	9.018	NA	0.242	NA	-120.56	-5.666
92	2	42	281.292214140214	253.505142112009	0	254	10.159	9.221	NA	0.3	NA	-127.62	-7.06
93	2	43	281.602073406823	254.184699161127	0	255	10.407	9.405	NA	0.248	NA	-123.444	4.176
94	2	44	282.983429868214	254.829059885316	0	252	10.695	9.611	NA	0.288	NA	-127.017	-3.572
95	2	45	281.013742754608	253.310655199319	0	239	10.978	9.831	NA	0.283	NA	-122.728	4.289
96	2	46	282.103980123587	253.344623770766	0	255	11.206	9.978	NA	0.229	NA	-134.384	-11.656
97	2	47	282.264038779989	253.758365781583	0	255	11.513	10.199	NA	0.307	NA	-129.972	4.412
98	2	48	280.657963837616	254.47975796555	0	255	11.815	10.394	NA	0.302	NA	-136.831	-6.86
99	2	49	282.961354894161	250.966149632178	0	243	12.114	10.618	NA	0.298	NA	-129.738	7.094
100	2	51	281.254995291069	253.649568942688	0	237	12.396	10.814	NA	0.282	NA	-135.345	-5.608
101	3	1	185.26514874278	430.679617076568	0	255	0	0	NA	NA	NA	NA	NA
102	3	2	186.880644686043	429.306153911822	0	255	0.166	0.166	NA	0.166	NA	-4.621	NA
103	3	3	185.377202257372	428.853397392996	0	255	0.431	0.431	NA	0.265	NA	0.603	5.225
104	3	4	184.681799550056	430.665336840302	0	255	0.65	0.648	NA	0.219	NA	5.766	5.162
105	3	5	185.585789491974	429.489298406631	0	249	0.891	0.888	NA	0.241	NA	9.237	3.472
106	3	6	185.865309824541	430.566550298519	0	255	1.081	1.078	NA	0.19	NA	6.188	-3.049
107	3	7	187.584817703135	429.88103541372	0	255	1.341	1.332	NA	0.26	NA	-9.057	-15.245
108	3	8	188.558880574964	428.663977298141	0	255	1.553	1.544	NA	0.212	NA	3.154	12.21
