Nr	TID	PID	x [pixel]	y [pixel]	t [sec]	I [val]	Len [pixel]	D2S [pixel]	D2R [pixel]	D2P [pixel]	v [pixel/sec]	? [deg]	?? [deg]
115	3	15	187.795759650037	430.675135014154	0	245	3.1	3.086	NA	0.155	NA	10.504	3.168
116	3	16	186.958233164877	430.066208262332	0	255	3.349	3.334	NA	0.249	NA	-3.525	-14.029
117	3	17	190.869348468669	431.178775925793	0	252	3.581	3.565	NA	0.232	NA	-3.298	0.227
118	3	18	190.660260416046	430.940386733986	0	240	3.834	3.817	NA	0.253	NA	7.164	10.462
119	3	19	191.135869804397	429.026987754092	0	255	4.049	4.031	NA	0.215	NA	-3.455	-10.619
120	3	20	189.171137517579	428.752632606037	0	255	4.25	4.228	NA	0.2	NA	13.288	16.743
121	3	21	190.415353970803	430.777818112269	0	255	4.49	4.466	NA	0.24	NA	-5.844	-19.132
122	3	22	189.829507421799	432.310029835582	0	255	4.753	4.728	NA	0.263	NA	6.699	12.543
123	3	23	191.619904056437	429.220208589837	0	250	4.969	4.943	NA	0.216	NA	-2.668	-9.367
124	3	24	191.55639798791	429.483219427526	0	255	5.15	5.124	NA	0.181	NA	2.696	5.364
125	3	25	189.360484705791	429.707018756785	0	255	5.388	5.362	NA	0.238	NA	3.899	1.203
126	3	26	191.47590137887	431.147280962609	0	255	5.67	5.639	NA	0.282	NA	-9.127	-13.026
127	3	27	192.906831797414	429.593079272255	0	254	5.874	5.841	NA	0.205	NA	11.058	20.185
128	3	28	190.97771733053	432.021822307795	0	255	6.076	6.042	NA	0.202	NA	4.883	-6.175
129	3	29	193.334483098827	431.311972618811	0	255	6.26	6.226	NA	0.184	NA	4.741	-0.143
130	3	30	191.450948671825	430.291796753079	0	254	6.552	6.517	NA	0.291	NA	4.333	-0.407
131	3	31	192.863327813119	431.776231839225	0	252	6.801	6.766	NA	0.249	NA	4	-0.333
132	3	32	192.404836441964	429.110937311642	0	255	6.98	6.941	NA	0.179	NA	-9.854	-13.855
133	3	33	193.494985158399	429.033573050328	0	255	7.189	7.151	NA	0.209	NA	1.505	11.36
134	3	34	193.363433798499	431.891686687365	0	244	7.418	7.379	NA	0.229	NA	4.638	3.133
135	3	35	194.266830129445	430.356445258215	0	250	7.685	7.645	NA	0.267	NA	-2.054	-6.692
